Artist,Title,Album,Year,Lyrics,Lyrics Link,pos,neu,neg,opp neg,final score
Bruce Springsteen,Downbound Train,Born in the U.S.A.,1984,"i had a job, i had a girl. i had something going, mister, in this world. i got laid off down at the lumber yard. our love went bad. times got hard. now i work down at the carwash. where all it ever does is rain. don't you feel like you're a rider on a downbound train?. she just said ""joe, i gotta go. we had it once. we ain't got it any more."". she packed her bags left me behind. she bought a ticket on the central line. nights as i sleep, i hear that whistle whining. i feel her kiss in the misty rain. and i feel like i'm a rider on a downbound train. last night i heard your voice. you were crying, crying. you were so alone. you said your love had never died. you were waiting for me at home. put on my jacket, i ran through the woods. i ran 'till i thought my chest would explode. there in the clearing, beyond the highway. in the moonlight, our wedding house shone. i rushed through the yard. i burst through the front door. my head pounding hard, up the stairs i climbed. the room was dark. our bed was empty. then i heard that long whistle whine. and i dropped to my knees, hung my head, and cried. now i swing a sledge hammer on a railroad gang. knocking down them cross ties, working in the rain. now don't it feel like you're a rider on a downbound train?",https://genius.com/Bruce-springsteen-downbound-train-lyrics,0.056,0.822,0.122,0.878,0.467
Bruce Springsteen,Cover Me,Born in the U.S.A.,1984,"the times are tough now, just getting tougher. this old world is rough, it's just getting rougher. cover me, come on baby, cover me. . well i'm looking for a lover who will come on in and cover me. . promise me baby you won't let them find us. hold me in your arms, let's let our love blind us. cover me, shut the door and cover me. . well i'm looking for a lover who will come on in and cover me. . outside's the rain, the driving snow. i can hear the wild wind blowing. turn out the light, bolt the door. i ain't going out there no more. . this whole world is out there just trying to score. i've seen enough; i don't want to see any more. cover me, come on and cover me. . well i'm looking for a lover who will come on in and cover me. . outside's the rain, the driving snow. i can hear the wild wind blowing. turn out the light, bolt the door. i ain't going out there no more. . well i'm looking for a lover who will come on in and cover me. well i'm looking for a lover who will come on in and cover me. well i'm looking for a lover who will come on in and cover me. . come on baby. come on baby. come on baby",https://genius.com/Bruce-springsteen-cover-me-lyrics,0.176,0.785,0.04,0.96,0.568
Bruce Springsteen,Bobby Jean,Born in the U.S.A.,1984,"well, i came by your house the other day. your mother said you went away. she said there was nothing that i could have done. there was nothing nobody could say. me and you, we've known each other. yeah, ever since we were sixteen. i wished i would have known. i wished i could have called you. just to say ""goodbye, bobby jean"". . now you hung with me when all the others turned away turned up their nose. we liked the same music. we liked the same bands. we liked the same clothes. we told each other that we were the wildest. the wildest things we'd ever seen. now i wished you would have told me. i wished i could have talked to you. just to say ""goodbye, bobby jean"". . now we went walking in the rain. talking about the pain from the world we hid. now there ain't nobody, nowhere, nohow. gonna ever understand me the way you did. . well maybe you'll be out there on that road somewhere. in some bus or train traveling along. in some motel room there'll be a radio playing. and you'll hear me sing this song. well if you do, you'll know i'm thinking of you. and all the miles in between. and i'm just calling one last time, not to change your mind. but just to say ""i miss you baby. good luck. goodbye, bobby jean""",https://genius.com/Bruce-springsteen-bobby-jean-lyrics,0.089,0.889,0.022,0.978,0.5335
Bruce Springsteen,Darlington County,Born in the U.S.A.,1984,"driving in to darlington county. me and wayne on the fourth of july. driving in to darlington county. looking for some work on the county line. we drove down from new york city. where the girls are pretty but they just want to know your name. driving in to darlington city. got a union connection with an uncle of wayne's. we drove 800 miles without seeing a cop. we got rock and roll music blasting off the t-top, singing. . sha la la, sha la la la la. sha la la la, la la la. sha la la, sha la la la la. sha la la la, la la la. . hey little girl, standing on the corner. today's your lucky day for sure, all right. me and my buddy, we're from new york city. we got $200; we want to rock all night. girl, you're looking at two big spenders. why, the world don't know what me and wayne might do. our pa's each own one of the world trade centers. for a kiss and a smile, i'll give mine all to you. come on baby, take a seat on my fender. it's a long night, and tell me, what else were you gonna do?. just me and you, we could. . sha la la, sha la la la la. sha la la la, la la la. sha la la, sha la la la la. sha la la la, la la la. . little girl, sitting in the window. ain't seen my buddy in seven days. county man tells me the same thing. he don't work and he don't get paid. little girl, you're so young and pretty. walk with me and you can have your way. and we'll leave this darlington city. for a ride down that dixie highway. . driving out of darlington county. my eyes seen the glory of the coming of the lord. driving out of darlington county. seen wayne handcuffed to the bumper of a state trooper's ford. . sha la la, sha la la la la. sha la la la, la la la. sha la la, sha la la la la. sha la la la, la la la. sha la la, sha la la la la. sha la la la, la la la. sha la la, sha la la la la. sha la la la, la la la. sha la la, sha la la la la. sha la la la, la la la. sha la la, sha la la la la. sha la la la, la la la",https://genius.com/Bruce-springsteen-darlington-county-lyrics,0.064,0.933,0.003,0.997,0.5305
Bruce Springsteen,Working On The Highway,Born in the U.S.A.,1984,"friday night's pay night, guys fresh out of work. talking about the weekend, scrubbing off the dirt. some heading home to their families, some looking to get hurt. some going down to stovall wearing trouble on their shirts. i work for the county out on 95. all day i hold a red flag and watch the traffic pass me by. in my head i keep a picture of a pretty little miss. someday, mister, i'm gonna lead a better life than this. . working on the highway, laying down the blacktop. working on the highway, all day long i don't stop. working on the highway, blasting through the bedrock. working on the highway, working on the highway. . i met her at a dance down at the union hall. she was standing with her brothers, back up against the wall. sometimes we'd go walking down the union tracks. one day i looked straight at her and she looked straight back. so i'm. . working on the highway, laying down the blacktop. working on the highway, all day long i don't stop. working on the highway, blasting through the bedrock. working on the highway, working on the highway. . i saved up my money and i put it all away. i went to see her daddy but we didn't have much to say. ""son, can't you see that she's just a little girl?. she don't know nothing about this cruel, cruel world."". we lit out down to florida, we got along all right. one day her brothers came and got her and they took me in a black-and-white. the prosecutor kept the promise that he made on that day. and the judge got mad, and he put me straight away. i wake up every morning to the work bell clang. me and the warden go swinging on the charlotte county road gang. i'm.... . working on the highway, laying down the blacktop. working on the highway, all day long i don't stop. working on the highway, blasting through the bedrock. working on the highway, working on the highway. working on the highway, laying down the blacktop. working on the highway, all day long i don't stop. working on the highway, blasting through the bedrock. working on the highway, working on the highway",https://genius.com/Bruce-springsteen-working-on-the-highway-lyrics,0.059,0.876,0.065,0.935,0.497
Bruce Springsteen,Born to Run,Born to Run,1975,"in the day, we sweat it out on the streets. of a runaway american dream. at night, we ride through mansions of glory. in suicide machines. sprung from cages out on highway 9. chrome wheeled, fuel injected and steppin' out over the line. oh, baby this town rips the bones from your back. it's a death trap, it's a suicide rap. we gotta get out while we're young. `cause tramps like us, baby we were born to run. yes, girl, we were. wendy let me in, i wanna be your friend. i want to guard your dreams and visions. just wrap your legs 'round these velvet rims. and strap your hands across my engines. together we could break this trap. we'll run till we drop, baby we'll never go back. oh, will you walk with me out on the wire?. `cause baby i'm just a scared and lonely rider. but i gotta find out how it feels. i want to know if love is wild, babe. i want to know if love is real. oh, can you show me?. . beyond the palace, hemi-powered drones. scream down the boulevard. the girls comb their hair in rearview mirrors. and the boys try to look so hard. the amusement park rises bold and stark. kids are huddled on the beach in a mist. i wanna die with you, wendy, on the streets tonight. in an everlasting kiss. (1, 2, 3, 4) the highways jammed with broken heroes. on a last chance power drive. everybody's out on the run tonight. but there's no place left to hide. together, wendy, we can live with the sadness. i'll love you with all the madness in my soul. oh, someday girl, i don't know when. we're gonna get to that place. where we really want to go, and we'll walk in the sun. but till then, tramps like us. baby, we were born to run. oh honey, tramps like us. baby, we were born to run. come on with me, tramps like us. baby, we were born to run",https://genius.com/Bruce-springsteen-born-to-run-lyrics,0.159,0.73,0.111,0.889,0.524
Bruce Springsteen,Thunder Road,Born to Run,1975,"the screen door slams, mary's dress waves. like a vision she dances across the porch as the radio plays. roy orbison singing for the lonely. hey, that's me, and i want you only. don't turn me home again. i just can't face myself alone again. don't run back inside. darling, you know just what i'm here for. so you're scared and you're thinking. that maybe we ain't that young anymore. show a little faith, there's magic in the night. you ain't a beauty, but, hey, you're alright. oh, and that's alright with me. you can hide 'neath your covers and study your pain. make crosses from your lovers, throw roses in the rain. waste your summer praying in vain. for a saviour to rise from these streets. well now i'm no hero that's understood. all the redemption i can offer, girl, is beneath this dirty hood. with a chance to make it good somehow. hey what else can we do now?. except roll down the window and let the wind blow back your hair. well the night's busting open. these two lanes will take us anywhere. we got one last chance to make it real. to trade in these wings on some wheels. climb in back, heaven's waiting down on the tracks. oh-oh come take my hand. we're riding out tonight to case the promised land. oh-oh thunder road oh thunder road oh thunder road. lying out there like a killer in the sun. hey, i know it's late, we can make it if we run. oh, thunder road, sit tight, take hold. thunder road. well i got this guitar, and i learned how to make it talk. and my car's out back if you're ready to take that long walk. from your front porch to my front seat. the door's open but the ride it ain't free. and i know you're lonely for words that i ain't spoken. but tonight we'll be free, all the promises'll be broken. there were ghosts in the eyes of all the boys you sent away. they haunt this dusty beach road in the skeleton frames of burned out chevrolets. they scream your name at night in the street. your graduation gown lies in rags at their feet. and in the lonely cool before dawn. you hear their engines roaring on. but when you get to the porch they're gone. on the wind, so mary, climb in. it's a town full of losers. and i'm pulling out of here to win",https://genius.com/Bruce-springsteen-thunder-road-lyrics,0.14,0.718,0.142,0.858,0.499
Bruce Springsteen,Jungleland,Born to Run,1975,"the rangers had a homecoming in harlem late last night. and the magic rat drove his sleek machine. over the jersey state line. barefoot girl sitting on the hood of a dodge. drinking warm beer in the soft summer rain. the rat pulls into town rolls up his pants. together they take a stab at romance. and disappear down flamingo lane. well the maximum lawman run down flamingo. chasing the rat and the barefoot girl. and the kids round here look just like shadows. always quiet, holding hands. from the churches to the jails. tonight all is silence in the world. as we take our stand down in jungleland. well the midnight gangs assembled. and picked a rendezvous for the night. they'll meet 'neath that giant exxon sign. that brings this fair city light. man there's an opera out on the turnpike. there's a ballet being fought out in the alley. until the local cops, cherry tops, rips this holy night. the street's alive as secret debts are paid. contact's made, they vanished unseen. kids flash guitars just like switch-blades. hustling for the record machine. the hungry and the hunted. explode into rock'n'roll bands. that face off against each other out in the street. down in jungleland. in the parking lot the visionaries dress in the latest rage. inside the backstreet girls are dancing to the records that the dj plays. lonely-hearted lovers struggle in dark corners. desperate as the night moves on. just one look and a whisper, and they're gone. . beneath the city two hearts beat. soul engines running through a night so tender. in a bedroom locked in whispers. of soft refusal and then surrender. in the tunnels uptown the rat's own dream guns him down. as shots echo down them hallways in the night. no one watches when the ambulance pulls away. or as the girl shuts out the bedroom light. outside the street's on fire in a real death waltz. between what's flesh and what's fantasy. and the poets down here. don't write nothing at all. they just stand back and let it all be. and in the quick of the night they reach for their moment. and try to make an honest stand. but they wind up wounded, not even dead. tonight in jungleland",https://genius.com/Bruce-springsteen-jungleland-lyrics,0.077,0.88,0.043,0.957,0.517
Bruce Springsteen,Backstreets,Born to Run,1975,"one soft infested summer. me and terry became friends. trying in vain to breathe. the fire we was born in. catching rides to the outskirts. tying faith between our teeth. sleeping in that old abandoned beach house. getting wasted in the heat. and. . hiding on the backstreets. hiding on the backstreets. with a love so hard and filled with defeat. running for our lives at night on them backstreets. . slow dancing in the dark. on the beach at stockton's wing. where desperate lovers park. we sat with the last of the duke street kings. huddled in our cars. waiting for the bells that ring. in the deep heart of the night. we let lose of everything. to go. . running on the backstreets. running on the backstreets. terry you swore we'd live forever. taking it on them backstreets together. . endless juke joints and valentino drag. where dancers scraped the tears. up off the street dressed down in rags. running into the darkness. some hurt bad some really dying. at night sometimes it seemed. you could hear the whole damn city crying. blame it on the lies that killed us. blame it on the truth that ran us down. you can blame it all on me terry. it don't matter to me now. when the breakdown hit at midnight. there was nothing left to say. but i hated him. and i hated you when you went away. . laying here in the dark. you're like an angel on my chest. just another tramp of hearts. crying tears of faithlessness. remember all the movies, terry. we'd go see. trying to learn to walk like the heroes. we thought we had to be. well after all this time. to find we're just like all the rest. stranded in the park. and forced to confess. to. . hiding on the backstreets. hiding on the backstreets. where we swore forever friends. on the backstreets until the end. . hiding on the backstreets. hiding on the backstreets. hiding on the backstreets. hiding on the backstreets. hiding on the backstreets. hiding on the backstreets. hiding on the backstreets. hiding on the backstreets. hiding on the backstreets. hiding on the backstreets. hiding on the backstreets. hiding on the backstreets. hiding on the backstreets. hiding on the backstreets. hiding on the backstreets. hiding on the backstreets. hiding on the backstreets. hiding on the backstreets. hiding on the backstreets. hiding on the backstreets. hiding on the backstreets. hiding on the backstreets. hiding on the backstreets. it's all right, we go hiding on the backstreets. trying to hide. hiding on the backstreets. hiding on the backstreets. hiding on the backstreets. hiding on the backstreets. hiding on the backstreets. hiding on the backstreets. hiding on the backstreets. oh, hey, whoa, oh-oh",https://genius.com/Bruce-springsteen-backstreets-lyrics,0.055,0.665,0.28,0.72,0.3875
Bruce Springsteen,Tenth Avenue Freeze Out,Born to Run,1975,"tear drops on the city. bad scooter searching for his groove. seem like the whole world walking pretty. and you can't find the room to move. well everybody better move over, that's all. 'cause i'm running on the bad side. and i got my back to the wall. tenth avenue freeze-out, tenth avenue freeze-out. . i was stranded in the jungle. tryin' to take in all the heat they was giving. the night is dark but the sidewalks bright. and lined with the light of the living. from a tenement window a transistor blasts. turn around the corner things got real quiet real fast. i walked into a tenth avenue freeze-out. tenth avenue freeze-out. . and i'm all alone, i'm all alone. and kid you better get the picture. and i'm on my own, i'm on my own. and i can't go home. . when the change was made uptown. and the big man joined the band. from the coastline to the city. all the little pretties raise their hands. i'm gonna sit back right easy and laugh. when scooter and the big man bust this city in half. with a tenth avenue freeze-out, tenth avenue freeze-out. tenth avenue freeze-out",https://genius.com/Bruce-springsteen-tenth-avenue-freeze-out-lyrics,0.134,0.821,0.045,0.955,0.5445
