Artist,Title,Album,Year,Lyrics,Lyrics Link,pos,neu,neg,opp neg,final score
Leonard Cohen,On That Day,Dear Heather,2004,some people say. it's what we deserve. for sins against god. for crimes in the world. i wouldn't know. i'm just holding the fort. since that day. they wounded new york. some people say. they hate us of old. our women unveiled. our slaves and our gold. i wouldn't know. i'm just holding the fort. but answer me this. i won't take you to court. did you go crazy. or did you report. on that day. on that day. they wounded new york. (on that day they wounded new york),https://genius.com/Leonard-cohen-on-that-day-lyrics,0.017,0.902,0.081,0.919,0.468
Leonard Cohen,There for You,Dear Heather,2004,when it all went down. and the pain came through. i get it now. i was there for you. don't ask me how. i know it's true. i get it now. i was there for you. i make my plans. like i always do. but when i look back. i was there for you. i walk the streets. like i used to do. and i freeze with fear. but i'm there for you. i see my life. in full review. it was never me. it was always you. you sent me here. you sent me there. breaking things. i can't repair. making objects. out of thoughts. making more than. by thinking not. eating food. and drinking wine. a body that. i thought was mine. dressed as arab. dressed as jew. o mask of iron. i was there for you. moods of glory. moods so foul. the world comes through. a bloody towel. and death is old. but it's always new. i freeze with fear. and i'm there for you. i see it clear. i always knew. it was never me. i was there for you. i was there for you. my darling one. and by your law. it all was done. don't ask me how. i know it's true. i get it now. i was there for you. don't ask me how. i know it's true. i get it now. i was there for you. don't ask me how. i know it's true. i get it now. i was there for you. don't ask me how. i know it's true. i get it now. i was there for you,https://genius.com/Leonard-cohen-there-for-you-lyrics,0.138,0.789,0.073,0.927,0.5325
Leonard Cohen,Undertow,Dear Heather,2004,"i set out one night. when the tide was low. there were signs in the sky. but i did not know. i'd be caught in the grip. of an undertow. ditched on a beach. where the sea hates to go. with a child in my arms. and a chill in my soul. and my heart the shape. of a begging bowl. oh, i set out one night. but i did not know. i'd be caught in the grip. of an undertow. ditched on a beach. where the sea hates to go. with a child in my arms. and a chill in my soul. and my heart the shape. of a begging bowl",https://genius.com/Leonard-cohen-undertow-lyrics,0,0.913,0.087,0.913,0.4565
Leonard Cohen,Morning Glory,Dear Heather,2004,"no words this time?. no words. no, there are times when nothing can be done. not this time!. is it censorship?. is it censorship?. no, it's evaporation!. no, it's evaporation!. is this leading somewhere?. is this going somewhere?. yes. we're going down the lane!. into the garden. into the backyard. we're walking down the driveway!. are we moving towards.... we're in the backyard. ...some transcendental moment?. it's almost light. that's right. that's it!. are we moving towards some transcendental moment?. that's right. that's it!. do you think you'll be able to pull it off?. yes!. do you think you can pull it off?. yes, it might happen. i'm all ears. i'm all ears. oh, the morning glory. oh, the morning glory. gloria, gloria. gloria. gloria, ah, ah, ah. gloria. oh, the morning glory. oh, the morning glory. oh, the morning glory. oh, the morning glory. oh, the morning glory. oh, the morning glory. oh, the morning glory",https://genius.com/Leonard-cohen-morning-glory-lyrics,0.204,0.738,0.058,0.942,0.573
Leonard Cohen,To a Teacher,Dear Heather,2004,"hurt once and for all into silence. a long pain ending without a song to prove it. who could stand beside you so close to eden. when you glinted in every eye the held-high razor. shivering every ram and son?. now, silent looney-bin. where the shadows live in the rafters like day-weary bats. until the turning mind, a radar signal. lures them to exaggerate mountain-size on the white stone wall. your tiny limp. how can i leave you in such a house?. are there no more saints and wizards. to praise their ways with pupils. no more evil to stun with the slap of a wet red tongue?. did you confuse the messiah in a mirror. and rest because he had finally come?. let me cry help beside you, teacher. i have entered under this dark roof. as fearlessly as an honoured son enters his father's house",https://genius.com/Leonard-cohen-to-a-teacher-lyrics,0.096,0.755,0.149,0.851,0.4735
Leonard Cohen,Tennessee Waltz (Live),Dear Heather,2004,"i was dancin' with my darling. to the tennessee waltz. when an old friend i happened to see. ah introduced him to my loved one. and while they were dancin'. my friend stole my sweetheart from me. i remember the night. and the tennessee waltz. 'cause i know just how much i have lost. yes, i lost my little darling. the night they were playing. that beautiful tennessee waltz. i remember the night. and the tennessee waltz. 'cause i know just how much i have lost. yes, i lost my little darling. the night they were playin'. that beautiful tennessee waltz. she goes dancin' through the darkness. to the tennessee waltz. and i feel like i'm falling apart. and it's stronger than drink. and it's deeper than sorrow. this darkness she left in my heart. i remember the night. and the tennessee waltz. 'cause i know just how much i have lost. yes, i lost my little darling. the night they were playing. the beautiful tennessee waltz. that beautiful tennessee waltz",https://genius.com/Leonard-cohen-tennessee-waltz-live-lyrics,0.293,0.599,0.108,0.892,0.5925
Leonard Cohen,Memories,Death of a Ladies' Man,1977,"frankie laine, he was singing jezebel. i pinned an iron cross to my lapel. i walked up to the tallest and the blondest girl. i said, ""look, you don't know me now but very soon you will. so won't you let me see"". i said ""won't you let me see"". i said ""won't you let me see. your naked body?"". ""just dance me to the dark side of the gym. chances are i will let you do most anything. i know you're hungry, i can hear it in your voice. and there are many parts of me to touch, you have your choice. ah but no you cannot see. she said ""no you cannot see"". she said ""no you cannot see. my naked body"". so we're dancing close, the band is playing stardust. the balloons and paper streamers they're floating down on us. she says, ""you've got a minute left to fall in love"". in solemn moments such as this i have put my trust. and all my faith to see. i said all my faith to see. i said all my faith to see. her naked body. naked body. all my faith.... (...you cheated you lied)",https://genius.com/Leonard-cohen-memories-lyrics,0.096,0.836,0.069,0.931,0.5135
Leonard Cohen,Death of a Ladies' Man,Death of a Ladies' Man,1977,"ah the man she wanted all her life was hanging by a thread. ""i never even knew how much i wanted you,"" she said. his muscles they were numbered and his style was obsolete. ""o baby, i have come too late."" she knelt beside his feet. ""i'll never see a face like yours in years of men to come. i'll never see such arms again in wrestling or in love."". and all his virtues burning in the smoky holocaust. she took unto herself most everything her lover lost. . now the master of this landscape he was standing there at the view. with a sparrow of st. francis that he was preaching to. she beckoned to the sentry of his high religious mood. she said, ""i'll make a place between my legs i'll show you solitude."". . he offered her an orgy in a many mirrored room. he promised her protection for the issue of her womb. she moved her body hard against a sharpened metal spoon. she stopped the bloody rituals of passage to the moon. she took his much admired oriental frame of mind. and the heart-of-darkness alibi his money hides behind. she took his blonde madonna and his monastery wine --. ""this mental space is occupied and everything is mine."". . he tried to make a final stand beside the railway track. she said, ""the art of longing's over and it's never coming back."". she took his tavern parliament, his cap, his cocky dance. she mocked his female fashions and his working-class moustache. . now the last time that i saw him he was trying hard to get. a woman's education but he's not a woman yet. and the last time that i saw her she was living with some boy. who gives her soul an empty room and gives her body joy. . so the great affair is over but whoever would have guessed. it would leave us all so vacant and so deeply unimpressed. it's like our visit to the moon or to that other star. i guess you go for nothing if you really wanna go that far. it's like our visit to the moon or to that other star. i guess you go for nothing if you really wanna go that far. it's like our visit to the moon or to that other star. i guess you go for nothing if you really wanna go that far",https://genius.com/Leonard-cohen-death-of-a-ladies-man-lyrics,0.047,0.879,0.073,0.927,0.487
Leonard Cohen,Paper Thin Hotel,Death of a Ladies' Man,1977,the walls of this hotel are paper-thin. last night i heard you making love to him. the struggle mouth to mouth and limb to limb. the grunt of unity when he came in. i stood there with my ear against the wall. i was not seized by jealousy at all. . in fact a burden lifted from my soul. i learned that love was out of my control. a heavy burden lifted from my soul. i learned that love was out of my control. . i listened to your kisses at the door. i never heard the world so clear before. you ran your bath and you began to sing. i felt so good i couldn't feel a thing. i stood there with my ear against the wall. i was not seized by jealousy at all. . in fact a burden lifted from my soul. i heard that love was out of my control. a heavy burden lifted from my soul. i learned that love was out of my control. . and i can't wait to tell you to your face. and i can't wait for you to take my place. you are the naked angel in my heart. you are the woman with her legs apart. . it's written on the walls of this hotel. you go to heaven once you've been to hell. a heavy burden lifted from my soul. i heard that love was out of my control,https://genius.com/Leonard-cohen-paper-thin-hotel-lyrics,0.165,0.752,0.083,0.917,0.541
Leonard Cohen,Don't Go Home with Your Hard-On,Death of a Ladies' Man,1977,"i was born in a beauty salon. my father was a dresser of hair. my mother was a girl you could call on. when you called she was always there. when you called she was always there. when you called she was always there. when you called she was always there. when you called she was always there. . ah but don't go home with your hard-on. it will only drive you insane. you can't shake it or break it with your motown. you can't melt it down in the rain. you can't melt it down in the rain. you can't melt it down in the rain. you can't melt it down in the rain. . i've looked behind all of these faces. that smile you down to your knees. and the lips that say, come on, taste us. and when you try to they make you say please. when you try to they make you say please. when you try to they make you say please. when you try to they make you say please. when you try to they make you say please. . ah but don't go home with your hard-on. it will only drive you insane. you can't shake it or break it with your motown. you can't melt it down in the rain. you can't melt it down in the rain. you can't melt it down in the rain. you can't melt it down in the rain. . here comes your bride with her veil on. approach her, you wretch, if you dare. approach her, you ape with your tail on. once you have her she'll always be there. once you have her she'll always be there. once you have her she'll always be there. once you have her she'll always be there. once you have her she'll always be there. . ah but don't go home with your hard-on. it will only drive you insane. you can't shake it or break it with your motown. you can't melt it down in the rain. you can't melt it down in the rain. you can't melt it down in the rain. you can't melt it down in the rain. . so i work in that same beauty salon. i'm chained to the old masquerade. the lipstick, the shadow, and the silicone. i follow my father's trade. yes i follow my father's trade. i follow my father's trade. i follow my father's trade. i follow my father's trade. . ah but don't go home with your hard-on. it will only drive you insane. you can't shake it or break it with your motown. you can't melt it down in the rain. you can't melt it down in the rain. you can't melt it down in the rain. you can't melt it down in the rain. you can't melt it down in the rain. you can't melt it down in the rain. you can't melt it down in the rain. you can't melt it down in the rain. you can't melt it down in the rain",https://genius.com/Leonard-cohen-dont-go-home-with-your-hard-on-lyrics,0.069,0.904,0.027,0.973,0.521
